Product,Country,Quantity,Revenue
Litware 20'' Box Fan E401 Black,China,1151,26565.6785
Contoso Projector 720p M620 Silver,China,1042,652551.45
MGS Bicycle Card Games2009 E166,China,2386,68297.6
"Fabrikam Business Videographer 2/3"" 17mm M280 Blue",China,1171,887274.4
Adventure Works Laptop8.9 E0890 White,China,2038,591869.3
Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 White,China,1271,474478.95
Contoso DVD 15-Inch Player Portable L200 Black,China,1469,385150.2185
MGS MechWarrior 4 Mach Paks2009 E161,China,2412,68841.6
Fabrikam SLR Camera M147 Silver,China,1745,519653.9
Litware Microwave 0.8CuFt E080 Black,China,1684,143377.906
SV 8xDVD E120 Silver,China,1527,125437.47
Adventure Works LCD19 E108 White,China,1376,176210.3
Contoso Wireless Notebook Optical Mouse M35 Black,China,534,14295.135
Contoso Carrying Case E312 Pink,China,1715,77368.056
NT Bluetooth Stereo Headphones E52 Pink,China,1500,34273.029
SV Rechargeable Bluetooth Notebook Mouse E80 White,China,652,36449.924
SV 22xDVD X680 Silver,China,165,25958.4
The Phone Company Touch Screen Phones SAW/On-wall M806 Black,China,1084,285308.75
WWI Wall Lamp E215 Grey,China,1049,112760.6025
Litware Home Theater System 7.1 Channel X711 Black,China,108,108792.9
Fabrikam Coffee Maker 4C E080 Grey,China,1610,187549.62
"Fabrikam Business Videographer 1/2"" 3mm M500 Orange",China,1360,1095952
Adventure Works LCD22W M200 Black,China,709,436495.15
Adventure Works LCD24 X300 White,China,146,116134.2
Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 Silver,China,27420,117461.94
Adventure Works Desktop PC2.33 XD233 Brown,China,370,326262.3
A. Datum Bridge Digital Camera M300 Orange,China,1679,278789.385
The Phone Company Smart phones Expert M400 Black,China,1289,342330
Contoso Telephoto Conversion Lens M350 Blue,China,1330,113197.25
Contoso 2-Line Speakerphone M109 Grey,China,1113,35608.506
Contoso Washer & Dryer 25.5in M255 Red,China,475,878640.75
The Phone Company Microsoft Windows Mobile M200 Black,China,464,97084.55
Contoso DVD 12-Inch Player Portable M400 White,China,1081,174023.3315
Fabrikam Coffee Maker Auto 10C M100 Grey,China,660,447146.406
Proseware Projector 720p LCD56 Silver,China,1143,720529.2
Contoso DVD 58 DVD Storage Binder M55 Silver,China,1605,20212.0335
SV Car Video LCD9.2W X9280 Black,China,176,165334.5
SV Hand Games women M40 Silver,China,7353,57696.912
"Adventure Works 42"" LCD HDTV M55 Black",China,1572,1071280.881
Litware Refrigerator 9.7CuFt M560 Orange,China,1218,543088.8
SV Car Video AM/FM E1000 Brown,China,1517,270759.4
Litware 20'' Box Fan E401 Yellow,China,1127,26511.0995
Contoso Home Theater System 5.1 Channel M1530 White,China,1314,472036.95
MGS Bicycle Board Games X500,China,1332,128069.55
The Phone Company PDA GPS Phone 4.7 inch L950 Silver,China,431,143814.4
A. Datum Point Shoot Digital Camera M500 Green,China,1481,258429.6
Litware Home Theater System 2.1 Channel E210 Brown,China,1535,416551.85
MGS MechCollection E116,China,2309,57111.6
SV Keyboard E90 Black,China,1631,62021.2125
"Fabrikam SLR Camera 35"" M358 Grey",China,1334,390320
Contoso Multi-Use Terminal Cable E308 White,China,1336,44526.7125
Contoso 2G MP3 Player E200 Silver,China,1399,26668.0695
